magBV sigmaBV magA1V sigmaA1V magA2V sigmaA2V magCV sigmaCV magBR sigmaBR magA1R sigmaA1R magA2R sigmaA2R magCR sigmaCR MJD
2.0410 0.0060 1.4820 0.0070 2.0210 0.0100 2.3600 0.0080 2.0830 0.0060 1.4930 0.0070 2.0340 0.0090 2.3030 0.0060 54677.3000
1.9620 0.0220 1.4690 0.0380 2.0760 0.0660 2.3700 0.0380 NaN NaN NaN NaN NaN NaN NaN NaN 54679.3000
2.0140 0.0140 1.4320 0.0150 2.0570 0.0220 2.3390 0.0190 2.0700 0.0060 1.5000 0.0070 1.9880 0.0090 2.3000 0.0070 54681.3000
2.0110 0.0080 1.5330 0.0100 2.0070 0.0140 2.2840 0.0090 2.0820 0.0060 1.5350 0.0080 1.9860 0.0100 2.2790 0.0080 54683.3000
2.0080 0.0060 1.5290 0.0080 2.0230 0.0110 2.3270 0.0070 2.0790 0.0060 1.5230 0.0070 2.0220 0.0100 2.2900 0.0080 54685.3000
2.0130 0.0040 1.5190 0.0070 2.0430 0.0100 2.3640 0.0080 2.0430 0.0110 1.4990 0.0110 2.0990 0.0170 2.2930 0.0130 54687.3000
1.9950 0.0090 1.5330 0.0110 2.0280 0.0150 2.3500 0.0130 2.0590 0.0090 1.4900 0.0100 2.0330 0.0150 2.3100 0.0120 54699.3000
2.0120 0.0100 1.5190 0.0130 2.0300 0.0190 2.4270 0.0140 2.0690 0.0080 1.5150 0.0100 2.0310 0.0160 2.2880 0.0110 54703.3000
2.0430 0.0080 1.5520 0.0110 1.9750 0.0150 2.3410 0.0110 2.0690 0.0080 1.4950 0.0100 2.0270 0.0150 2.3150 0.0110 54705.3000
1.9990 0.0110 1.5010 0.0180 1.9980 0.0280 2.3780 0.0180 2.0700 0.0120 1.5290 0.0160 1.9650 0.0230 2.3260 0.0160 54715.2000
1.9970 0.0080 1.4620 0.0100 2.0240 0.0140 2.3340 0.0110 2.0560 0.0090 1.5140 0.0100 1.9750 0.0130 2.3390 0.0110 54717.2000
1.9850 0.0120 1.4730 0.0130 1.9920 0.0200 2.3790 0.0170 2.0860 0.0090 1.4600 0.0100 2.0690 0.0160 2.3530 0.0130 54728.2000
2.0440 0.0140 1.5190 0.0220 1.9420 0.0300 2.3930 0.0240 2.0750 0.0110 1.5250 0.0150 1.9490 0.0210 2.2630 0.0160 54729.2000
2.0120 0.0060 1.4700 0.0060 2.0030 0.0080 2.3630 0.0080 2.0620 0.0050 1.4880 0.0060 2.0000 0.0080 2.3160 0.0060 54731.2000
2.0250 0.0050 1.4610 0.0070 2.0480 0.0110 2.3910 0.0080 2.0540 0.0050 1.4890 0.0070 2.0030 0.0100 2.3330 0.0070 54733.2000
2.0240 0.0120 1.4980 0.0170 2.0000 0.0260 2.3760 0.0180 2.0570 0.0150 1.4910 0.0230 2.0610 0.0380 2.2890 0.0220 54735.1000
2.0250 0.0090 1.5280 0.0110 2.0020 0.0160 2.3380 0.0110 2.0810 0.0080 1.5230 0.0120 2.0120 0.0170 2.3090 0.0140 54739.1000
2.0200 0.0060 1.4810 0.0080 2.0360 0.0120 2.3650 0.0080 2.0480 0.0060 1.4790 0.0070 2.0450 0.0090 2.3320 0.0070 54741.1000
2.0250 0.0060 1.5070 0.0090 2.0220 0.0120 2.3530 0.0090 2.0550 0.0070 1.5220 0.0090 2.0280 0.0120 2.2930 0.0080 54743.1000
NaN NaN NaN NaN NaN NaN NaN NaN 1.8080 0.0100 1.3010 0.0160 1.7710 0.0240 2.1490 0.0170 55001.4000
NaN NaN NaN NaN NaN NaN NaN NaN 1.8110 0.0060 1.2960 0.0110 1.8720 0.0180 2.1900 0.0120 55004.4000
NaN NaN NaN NaN NaN NaN NaN NaN 1.8160 0.0070 1.3320 0.0120 1.8070 0.0180 2.1880 0.0130 55005.4000
NaN NaN NaN NaN NaN NaN NaN NaN 1.8200 0.0080 1.3260 0.0120 1.8200 0.0180 2.1680 0.0130 55006.4000
NaN NaN NaN NaN NaN NaN NaN NaN 1.8100 0.0070 1.3030 0.0110 1.8110 0.0170 2.2060 0.0120 55008.4000
1.6360 0.0060 1.1120 0.0060 1.7180 0.0080 2.1140 0.0080 1.7390 0.0050 1.1680 0.0060 1.7460 0.0080 2.1080 0.0070 55068.2000
1.6110 0.0070 1.1010 0.0060 1.7030 0.0080 2.1060 0.0090 1.7200 0.0050 1.1750 0.0060 1.7220 0.0070 2.1230 0.0070 55070.2000
1.6230 0.0050 1.1120 0.0060 1.6930 0.0080 2.1010 0.0070 1.7430 0.0050 1.2030 0.0060 1.6720 0.0070 2.1290 0.0060 55071.2000
1.6090 0.0060 1.0990 0.0060 1.7120 0.0090 2.0790 0.0070 1.6990 0.0060 1.2010 0.0060 1.6750 0.0080 2.1170 0.0060 55072.2000
NaN NaN NaN NaN NaN NaN NaN NaN 1.7340 0.0130 1.1690 0.0200 1.7090 0.0320 2.1750 0.0270 55075.2000
NaN NaN NaN NaN NaN NaN NaN NaN 1.7240 0.0180 1.1110 0.0260 1.7600 0.0450 2.2480 0.0380 55076.2000
1.6290 0.0070 1.0700 0.0080 1.6670 0.0130 2.1240 0.0090 1.7370 0.0070 1.1130 0.0070 1.7610 0.0110 2.1210 0.0080 55087.2000
1.6410 0.0070 1.0670 0.0070 1.6450 0.0090 2.1060 0.0080 1.7400 0.0050 1.1440 0.0060 1.6900 0.0090 2.1090 0.0070 55088.2000
1.6460 0.0070 1.1040 0.0070 1.6400 0.0110 2.0840 0.0080 1.7500 0.0070 1.1460 0.0070 1.6970 0.0110 2.1020 0.0090 55089.2000
1.6500 0.0090 1.0970 0.0120 1.6220 0.0190 2.0850 0.0140 1.7370 0.0100 1.1500 0.0140 1.6800 0.0210 2.1470 0.0160 55091.2000
1.6400 0.0050 1.0680 0.0060 1.6540 0.0080 2.0680 0.0070 1.7180 0.0050 1.1460 0.0070 1.6980 0.0090 2.0900 0.0070 55092.2000
1.8570 0.0070 1.1390 0.0080 1.7880 0.0110 2.1870 0.0100 1.9120 0.0070 1.2180 0.0070 1.7580 0.0090 2.1930 0.0070 55325.4000
1.8650 0.0070 1.1760 0.0080 1.7560 0.0120 2.1330 0.0090 1.9110 0.0070 1.2370 0.0090 1.7490 0.0120 2.1500 0.0100 55334.4000
1.8720 0.0050 1.1660 0.0060 1.7840 0.0090 2.1520 0.0070 1.9230 0.0070 1.2560 0.0070 1.7690 0.0090 2.1590 0.0070 55336.4000
1.8610 0.0070 1.1430 0.0090 1.8060 0.0140 2.1500 0.0110 1.9000 0.0080 1.2230 0.0090 1.8000 0.0140 2.1610 0.0110 55339.4000
1.8970 0.0060 1.2840 0.0090 1.7330 0.0120 2.1060 0.0070 1.9710 0.0080 1.2810 0.0090 1.7690 0.0140 2.1480 0.0100 55341.4000
1.9240 0.0070 1.2720 0.0070 1.7650 0.0100 2.1510 0.0060 1.9810 0.0080 1.2790 0.0080 1.8340 0.0100 2.1880 0.0080 55352.4000
1.9320 0.0070 1.2370 0.0100 1.8610 0.0160 2.2340 0.0130 1.9980 0.0080 1.3580 0.0100 1.7050 0.0120 2.2080 0.0110 55354.4000
1.9500 0.0090 1.2830 0.0110 1.7980 0.0160 2.1740 0.0120 2.0070 0.0060 1.3100 0.0090 1.7950 0.0130 2.1830 0.0100 55358.3000
1.9390 0.0070 1.2620 0.0080 1.8130 0.0120 2.1800 0.0090 1.9960 0.0060 1.3420 0.0080 1.7620 0.0110 2.1920 0.0080 55362.3000
1.9460 0.0070 1.2510 0.0070 1.8590 0.0120 2.1540 0.0070 1.9900 0.0060 1.3370 0.0080 1.7830 0.0110 2.1770 0.0080 55365.3000
1.9400 0.0080 1.2960 0.0100 1.8300 0.0160 2.1950 0.0100 2.0130 0.0120 1.3190 0.0130 1.8460 0.0190 2.1810 0.0150 55368.4000
1.8910 0.0080 1.3210 0.0090 1.8720 0.0130 2.1760 0.0110 1.9710 0.0090 1.3630 0.0080 1.8110 0.0110 2.2020 0.0100 55378.4000
1.9000 0.0060 1.2930 0.0080 1.8370 0.0120 2.2180 0.0100 1.9720 0.0070 1.3160 0.0090 1.8480 0.0120 2.2420 0.0100 55380.3000
1.9330 0.0090 1.3250 0.0100 1.8680 0.0160 2.2480 0.0120 1.9660 0.0060 1.3450 0.0100 1.8810 0.0160 2.2800 0.0100 55384.4000
1.8790 0.0060 1.3420 0.0090 1.7980 0.0110 2.2090 0.0070 1.9560 0.0060 1.3310 0.0090 1.8630 0.0120 2.2080 0.0100 55386.4000
NaN NaN NaN NaN NaN NaN NaN NaN 1.9920 0.0090 1.3930 0.0110 1.8200 0.0150 2.2160 0.0110 55390.4000
2.0210 0.0110 1.6040 0.0140 1.8270 0.0160 2.1920 0.0120 1.9750 0.0060 1.4020 0.0080 1.8250 0.0110 2.2000 0.0090 55392.3000
1.8400 0.0110 1.4250 0.0160 1.8630 0.0240 2.3140 0.0170 1.9390 0.0170 1.4020 0.0280 1.9090 0.0440 2.2130 0.0250 55396.3000
1.8950 0.0110 1.3680 0.0140 1.9210 0.0220 2.2190 0.0180 1.9610 0.0090 1.3880 0.0100 1.8570 0.0140 2.2300 0.0120 55399.3000
1.8400 0.0080 1.3630 0.0090 1.8640 0.0120 2.2480 0.0110 1.9550 0.0080 1.3650 0.0080 1.8870 0.0100 2.2520 0.0080 55408.3000
1.8410 0.0050 1.3510 0.0090 1.8840 0.0140 2.2840 0.0100 1.9460 0.0070 1.3670 0.0080 1.8560 0.0120 2.2630 0.0090 55410.3000
1.8470 0.0060 1.3430 0.0090 1.8810 0.0130 2.2960 0.0110 1.9470 0.0080 1.3840 0.0100 1.8900 0.0150 2.2930 0.0120 55411.3000
1.8390 0.0200 1.4750 0.0280 1.6540 0.0350 2.3000 0.0360 1.9060 0.0360 1.3290 0.0400 1.9190 0.0660 2.2790 0.0610 55413.3000
1.8810 0.0070 1.3370 0.0110 1.8530 0.0170 2.2650 0.0120 1.9130 0.0130 1.3740 0.0190 1.8510 0.0280 2.2400 0.0240 55418.3000
1.8840 0.0070 1.3580 0.0090 1.8140 0.0130 2.2630 0.0100 1.9780 0.0090 1.3590 0.0110 1.8740 0.0170 2.2510 0.0120 55421.3000
1.8960 0.0080 1.3370 0.0090 1.8090 0.0130 2.3040 0.0110 1.9430 0.0080 1.3240 0.0100 1.8760 0.0150 2.2470 0.0110 55425.3000
1.9450 0.0070 1.3520 0.0070 1.9090 0.0090 2.2760 0.0070 1.9490 0.0080 1.3660 0.0060 1.8440 0.0080 2.2600 0.0070 55427.3000
2.0520 0.0080 1.6500 0.0120 2.0880 0.0170 2.5870 0.0150 2.0960 0.0080 1.5480 0.0100 2.1890 0.0170 2.5280 0.0140 55735.4000
2.0260 0.0060 1.6010 0.0100 2.1560 0.0140 2.5840 0.0120 2.1050 0.0070 1.6030 0.0090 2.1270 0.0120 2.4990 0.0080 55737.4000
2.0190 0.0080 1.5830 0.0100 2.1280 0.0150 2.5930 0.0130 2.1110 0.0060 1.6410 0.0090 2.0950 0.0120 2.5360 0.0110 55739.4000
2.0830 0.0070 1.4920 0.0080 2.0730 0.0130 2.5490 0.0120 2.0950 0.0080 1.5360 0.0080 2.0270 0.0110 2.5280 0.0110 55762.3000
2.0590 0.0080 1.4990 0.0090 2.1100 0.0150 2.5760 0.0140 2.1040 0.0090 1.5570 0.0100 1.9970 0.0140 2.5630 0.0140 55763.2000
2.1010 0.0170 1.4900 0.0290 2.0180 0.0440 2.5630 0.0310 NaN NaN NaN NaN NaN NaN NaN NaN 55772.3000
2.2480 0.0070 1.7360 0.0120 2.2120 0.0160 2.6760 0.0130 2.2280 0.0100 1.5550 0.0120 2.2130 0.0200 2.6430 0.0180 56164.8000
2.1700 0.0090 1.6370 0.0120 2.2300 0.0200 2.6680 0.0160 2.2530 0.0100 1.5820 0.0120 2.3660 0.0240 2.6230 0.0170 56179.7000
