magAV sigmaAV magBV sigmaBV magAR sigmaAR magBR sigmaBR MJD
-0.2710 0.0040 1.1920 0.0090 -0.2180 0.0030 1.1920 0.0080 54682.3000
-0.2640 0.0030 1.1700 0.0070 -0.2190 0.0040 1.2190 0.0090 54684.3000
-0.2720 0.0050 1.1790 0.0110 NaN NaN NaN NaN 54686.3000
-0.2700 0.0030 1.1830 0.0080 -0.2180 0.0040 1.1950 0.0080 54688.3000
-0.2720 0.0030 1.2010 0.0080 -0.2070 0.0050 1.1620 0.0110 54690.3000
-0.2870 0.0040 1.2110 0.0110 -0.2190 0.0050 1.1680 0.0120 54698.3000
-0.2570 0.0040 1.1830 0.0090 NaN NaN NaN NaN 54700.3000
-0.2570 0.0040 1.1570 0.0090 -0.2170 0.0040 1.1560 0.0090 54702.4000
-0.2650 0.0030 1.1730 0.0070 -0.2260 0.0030 1.1830 0.0080 54704.2000
-0.2620 0.0040 1.2020 0.0080 -0.1980 0.0080 1.1880 0.0170 54708.2000
-0.2690 0.0030 1.2010 0.0080 -0.2080 0.0050 1.2140 0.0110 54710.2000
-0.2540 0.0040 1.1780 0.0100 -0.2150 0.0040 1.1610 0.0090 54716.2000
-0.2620 0.0030 1.1890 0.0090 -0.2170 0.0050 1.1870 0.0110 54720.3000
NaN NaN NaN NaN -0.2260 0.0070 1.1810 0.0200 54724.2000
NaN NaN NaN NaN -0.1980 0.0050 1.1980 0.0130 54726.2000
NaN NaN NaN NaN -0.2010 0.0040 1.1700 0.0100 54728.2000
-0.2570 0.0050 1.1620 0.0110 NaN NaN NaN NaN 54730.3000
NaN NaN NaN NaN -0.2300 0.0100 1.2580 0.0220 54732.3000
-0.2660 0.0030 1.1760 0.0080 -0.2140 0.0040 1.1690 0.0090 54734.3000
-0.2690 0.0040 1.1720 0.0080 -0.2160 0.0030 1.1550 0.0070 54736.3000
-0.2650 0.0040 1.1610 0.0100 -0.2150 0.0050 1.1830 0.0130 54738.2000
NaN NaN NaN NaN -0.2070 0.0040 1.2030 0.0080 54740.2000
NaN NaN NaN NaN -0.3440 0.0030 1.0920 0.0060 55066.4000
-0.4550 0.0050 1.0300 0.0110 -0.3700 0.0050 1.0450 0.0110 55067.4000
-0.4960 0.0060 1.0530 0.0150 -0.3670 0.0050 1.0690 0.0110 55068.3000
-0.4680 0.0050 1.0030 0.0110 -0.3610 0.0030 1.0980 0.0080 55070.3000
-0.4510 0.0040 1.0100 0.0080 -0.3430 0.0030 1.0900 0.0080 55071.4000
-0.4750 0.0040 1.0550 0.0100 NaN NaN NaN NaN 55074.3000
-0.4780 0.0040 0.9970 0.0110 -0.3710 0.0030 1.1150 0.0080 55075.3000
-0.4880 0.0060 1.0190 0.0190 NaN NaN NaN NaN 55086.4000
-0.5170 0.0050 1.0070 0.0110 -0.3890 0.0030 1.0820 0.0080 55087.3000
-0.4940 0.0050 1.0180 0.0110 -0.3940 0.0030 1.0740 0.0060 55088.3000
-0.4880 0.0030 0.9710 0.0070 -0.3880 0.0030 1.0810 0.0070 55089.4000
-0.5130 0.0040 0.9770 0.0100 -0.3950 0.0030 1.0680 0.0060 55090.3000
-0.5140 0.0040 0.9960 0.0090 -0.3930 0.0030 1.0620 0.0060 55092.3000
-0.4230 0.0100 1.0670 0.0260 NaN NaN NaN NaN 55352.4000
-0.4100 0.0080 1.0690 0.0190 -0.3200 0.0030 1.1580 0.0080 55355.4000
-0.4080 0.0070 1.1010 0.0170 -0.3250 0.0030 1.1770 0.0080 55359.4000
NaN NaN NaN NaN -0.2930 0.0050 1.1950 0.0130 55367.4000
-0.3840 0.0060 1.1500 0.0170 -0.2800 0.0040 1.1890 0.0100 55375.4000
-0.3760 0.0070 1.1240 0.0200 -0.2990 0.0040 1.2230 0.0110 55377.4000
-0.3650 0.0100 1.1070 0.0250 -0.2830 0.0040 1.1690 0.0110 55379.4000
-0.3610 0.0110 1.1390 0.0250 -0.2750 0.0040 1.2100 0.0100 55387.4000
NaN NaN NaN NaN -0.2840 0.0030 1.2220 0.0070 55389.4000
-0.3460 0.0110 1.1630 0.0280 -0.2700 0.0030 1.2010 0.0080 55391.4000
NaN NaN NaN NaN -0.2610 0.0030 1.1830 0.0090 55393.4000
-0.3230 0.0070 1.1330 0.0160 -0.2710 0.0040 1.2360 0.0100 55397.3000
-0.3470 0.0080 1.1800 0.0210 -0.2690 0.0040 1.2260 0.0100 55399.4000
-0.3270 0.0080 1.1490 0.0190 -0.2690 0.0050 1.1480 0.0110 55400.4000
-0.3380 0.0060 1.1970 0.0170 -0.2620 0.0030 1.2230 0.0080 55401.4000
-0.3490 0.0080 1.2020 0.0240 -0.2760 0.0040 1.2600 0.0110 55403.4000
-0.3420 0.0070 1.2660 0.0190 -0.2510 0.0030 1.2050 0.0080 55410.4000
-0.3390 0.0060 1.2250 0.0170 -0.2670 0.0040 1.1700 0.0100 55414.4000
-0.3280 0.0070 1.2030 0.0190 -0.2670 0.0040 1.2550 0.0090 55418.3000
-0.3250 0.0110 1.2200 0.0270 -0.2790 0.0040 1.2130 0.0100 55427.3000
NaN NaN NaN NaN -0.3140 0.0050 1.2060 0.0130 55723.4000
NaN NaN NaN NaN -0.3530 0.0050 1.2120 0.0120 55725.4000
-0.4220 0.0150 1.1540 0.0410 NaN NaN NaN NaN 55726.4000
-0.4040 0.0130 1.1490 0.0340 -0.3360 0.0050 1.2110 0.0130 55736.4000
-0.4250 0.0130 1.1630 0.0350 NaN NaN NaN NaN 55737.4000
-0.4160 0.0090 1.1560 0.0230 -0.3490 0.0040 1.2140 0.0100 55739.4000
-0.4000 0.0100 1.2170 0.0290 -0.3410 0.0050 1.2130 0.0150 55760.4000
-0.4020 0.0110 1.1830 0.0320 -0.3280 0.0050 1.2400 0.0140 55762.4000
-0.4140 0.0090 1.2250 0.0250 -0.3370 0.0040 1.2000 0.0110 55765.4000
-0.4040 0.0120 1.1690 0.0300 -0.3470 0.0050 1.2350 0.0130 55767.3000
-0.3980 0.0220 1.2810 0.0630 -0.3270 0.0060 1.1860 0.0140 55769.4000
-0.4230 0.0090 1.2490 0.0230 -0.3480 0.0030 1.2550 0.0080 55772.4000
NaN NaN NaN NaN -0.3660 0.0060 1.2030 0.0250 55775.4000
-0.4120 0.0100 1.1860 0.0270 -0.3530 0.0050 1.2490 0.0130 55779.4000
-0.4040 0.0130 1.1360 0.0350 -0.3360 0.0060 1.1920 0.0150 55784.4000
-0.4100 0.0090 1.1520 0.0240 -0.3580 0.0040 1.2580 0.0130 55793.3000
-0.4020 0.0110 1.1840 0.0310 -0.3350 0.0050 1.2170 0.0150 55794.3000
-0.4130 0.0090 1.2180 0.0260 -0.3470 0.0050 1.2310 0.0130 55795.3000
-0.4040 0.0120 1.1700 0.0300 -0.3420 0.0060 1.2070 0.0140 55804.3000
-0.5010 0.0110 1.0880 0.0290 -0.4050 0.0120 1.1070 0.0290 56124.9000
-0.5130 0.0140 1.0990 0.0370 -0.4160 0.0100 1.1090 0.0250 56127.9000
-0.5230 0.0080 1.0700 0.0260 -0.4480 0.0050 1.1780 0.0150 56134.8000
-0.5250 0.0120 1.0690 0.0320 -0.4500 0.0090 1.1080 0.0220 56135.9000
-0.5450 0.0100 1.0820 0.0300 -0.4540 0.0070 1.1540 0.0210 56139.9000
-0.5330 0.0110 1.0210 0.0290 NaN NaN NaN NaN 56164.8000
-0.5410 0.0100 1.0330 0.0270 -0.4670 0.0090 1.0960 0.0210 56167.9000
-0.5320 0.0080 1.1170 0.0210 -0.4540 0.0060 1.1420 0.0170 56179.8000
-0.5300 0.0120 1.0960 0.0310 -0.4350 0.0120 1.0890 0.0280 56181.7000
-0.5350 0.0100 1.1100 0.0290 -0.4620 0.0090 1.1750 0.0250 56186.7000
